2012-10-31 09:25:43.1941 INFO Task Components are initialized
2012-10-31 09:25:57.2595 INFO Task Error with NHibernate session
2012-10-31 09:28:25.8294 INFO Task Error with NHibernate session
2012-10-31 09:30:18.7827 INFO Task Error with NHibernate session
2012-10-31 09:30:35.9044 INFO Task Error with NHibernate session
2012-10-31 09:30:35.9424 INFO Task Error with NHibernate session
2012-10-31 09:31:34.9593 INFO Task Error with NHibernate session
2012-10-31 09:31:48.0116 INFO Task Error with NHibernate session
2012-10-31 09:31:48.1456 INFO Task Error with NHibernate session
2012-10-31 09:34:39.4327 INFO Task Error with NHibernate session
2012-10-31 09:34:40.3108 INFO Task Error with NHibernate session
2012-10-31 09:38:42.7122 INFO Task Error with NHibernate session
2012-10-31 09:38:42.9132 INFO Task Error with NHibernate session
2012-10-31 09:38:54.0862 INFO Task Error with NHibernate session
2012-10-31 09:39:00.5882 INFO Task Error with NHibernate session
2012-10-31 09:39:00.6092 INFO Task Error with NHibernate session
2012-10-31 09:39:43.5512 INFO Task Error with NHibernate session
2012-10-31 09:44:58.8842 INFO Task Error with NHibernate session
2012-10-31 09:45:19.7032 INFO Task Error with NHibernate session
2012-10-31 09:45:24.2642 INFO Task Error with NHibernate session
2012-10-31 09:45:24.2782 INFO Task Error with NHibernate session
2012-10-31 09:53:28.8282 INFO Task Error with NHibernate session
2012-10-31 09:53:32.9062 INFO Task Error with NHibernate session
2012-10-31 09:55:44.1562 INFO Task Error with NHibernate session
2012-10-31 09:55:45.2202 INFO Task Error with NHibernate session
2012-10-31 09:55:52.2472 INFO Task Error with NHibernate session
2012-10-31 09:55:52.2652 INFO Task Error with NHibernate session
2012-10-31 09:56:42.2672 INFO Task Error with NHibernate session
2012-10-31 09:56:48.7242 INFO Task Error with NHibernate session
2012-10-31 09:56:48.7472 INFO Task Error with NHibernate session
2012-10-31 09:57:26.5722 INFO Task Error with NHibernate session
2012-10-31 09:57:39.1032 INFO Task Error with NHibernate session
2012-10-31 09:59:25.3655 INFO Task Error with NHibernate session
2012-10-31 09:59:25.4045 INFO Task Error with NHibernate session
2012-10-31 09:59:42.2682 INFO Task Error with NHibernate session
2012-10-31 09:59:56.6257 INFO Task Error with NHibernate session
2012-10-31 09:59:56.6467 INFO Task Error with NHibernate session
2012-10-31 10:02:13.3943 INFO Task Error with NHibernate session
2012-10-31 10:02:13.4293 INFO Task Error with NHibernate session
2012-10-31 10:02:25.3875 INFO Task Error with NHibernate session
2012-10-31 10:02:25.8586 INFO Task Error with NHibernate session
2012-10-31 10:04:34.3384 INFO Task Error with NHibernate session
2012-10-31 10:07:01.1521 INFO Task Error with NHibernate session
2012-10-31 10:08:54.2734 INFO Task Error with NHibernate session
2012-10-31 10:09:46.8957 INFO Task Error with NHibernate session
2012-10-31 10:10:07.7078 INFO Task Error with NHibernate session
2012-10-31 10:10:53.8364 INFO Task Components are initialized
2012-10-31 10:10:57.0987 INFO Task Error with NHibernate session
2012-10-31 10:11:16.8727 INFO Task Error with NHibernate session
2012-10-31 10:11:44.1374 INFO Task Error with NHibernate session
2012-10-31 10:11:44.1624 INFO Task Error with NHibernate session
2012-10-31 10:11:48.7399 INFO Task Error with NHibernate session
2012-10-31 10:11:48.7749 INFO Task Error with NHibernate session
2012-10-31 10:11:50.4960 INFO Task Error with NHibernate session
2012-10-31 10:11:50.6901 INFO Task Error with NHibernate session
2012-10-31 10:12:14.1044 INFO Task Error with NHibernate session
2012-10-31 10:16:28.5936 INFO Task Error with NHibernate session
2012-10-31 10:16:35.0909 INFO Task Error with NHibernate session
2012-10-31 10:16:35.1179 INFO Task Error with NHibernate session
2012-10-31 10:16:41.1251 INFO Task Error with NHibernate session
2012-10-31 10:16:41.1541 INFO Task Error with NHibernate session
2012-10-31 10:16:59.3217 INFO Task Components are initialized
2012-10-31 10:17:03.0215 INFO Task Error with NHibernate session
2012-10-31 10:17:07.6504 INFO Task Error with NHibernate session
2012-10-31 10:17:08.3556 INFO Task Error with NHibernate session
2012-10-31 10:18:24.8458 INFO Task Error with NHibernate session
2012-10-31 10:18:26.8623 INFO Task Error with NHibernate session
2012-10-31 10:18:31.8643 INFO Task Error with NHibernate session
2012-10-31 10:18:33.3275 INFO Task Error with NHibernate session
2012-10-31 10:18:33.3866 INFO Task Error with NHibernate session
2012-10-31 10:18:43.5256 INFO Task Error with NHibernate session
2012-10-31 10:18:50.0189 INFO Task Error with NHibernate session
2012-10-31 10:18:50.0359 INFO Task Error with NHibernate session
2012-10-31 10:19:16.1191 INFO Task Error with NHibernate session
2012-10-31 10:19:16.6972 INFO Task Error with NHibernate session
2012-10-31 10:19:23.0695 INFO Task Error with NHibernate session
2012-10-31 10:19:23.0975 INFO Task Error with NHibernate session
2012-10-31 10:20:14.2787 INFO Task Error with NHibernate session
2012-10-31 10:20:15.8190 INFO Task Error with NHibernate session
2012-10-31 10:20:15.8450 INFO Task Error with NHibernate session
2012-10-31 10:20:30.7330 INFO Task Error with NHibernate session
2012-10-31 10:20:33.7846 INFO Task Error with NHibernate session
2012-10-31 10:20:34.9009 INFO Task Error with NHibernate session
2012-10-31 10:20:34.9219 INFO Task Error with NHibernate session
2012-10-31 10:20:36.0121 INFO Task Error with NHibernate session
2012-10-31 10:20:36.8532 INFO Task Error with NHibernate session
2012-10-31 10:21:30.8861 INFO Task Error with NHibernate session
2012-10-31 10:21:32.1922 INFO Task Error with NHibernate session
2012-10-31 10:21:43.7044 INFO Task Error with NHibernate session
2012-10-31 10:22:22.6702 INFO Task Error with NHibernate session
2012-10-31 10:22:28.0578 INFO Task Error with NHibernate session
2012-10-31 10:22:28.0778 INFO Task Error with NHibernate session
2012-10-31 10:22:46.7217 INFO Task Error with NHibernate session
2012-10-31 10:22:46.7427 INFO Task Error with NHibernate session
2012-10-31 10:22:47.1357 INFO Task Error with NHibernate session
2012-10-31 10:22:51.6551 INFO Task Error with NHibernate session
2012-10-31 10:22:51.6882 INFO Task Error with NHibernate session
2012-10-31 10:23:01.2651 INFO Task Error with NHibernate session
2012-10-31 10:23:01.2871 INFO Task Error with NHibernate session
2012-10-31 10:24:12.7623 INFO Task Error with NHibernate session
2012-10-31 10:24:29.8840 INFO Task Error with NHibernate session
2012-10-31 10:24:29.9070 INFO Task Error with NHibernate session
2012-10-31 10:25:15.2965 INFO Task Error with NHibernate session
2012-10-31 10:25:20.5740 INFO Task Error with NHibernate session
2012-10-31 10:25:20.6050 INFO Task Error with NHibernate session
2012-10-31 10:25:30.8291 INFO Task Error with NHibernate session
2012-10-31 10:25:30.8621 INFO Task Error with NHibernate session
